Geneid	CO2	avg.z	locus
gene-SYNPCC7002_RS04770	0.04	-1.6538875384532583	32049.SYNPCC7002_A0954
gene-SYNPCC7002_RS04770	4	0.4318532759242844	32049.SYNPCC7002_A0954
gene-SYNPCC7002_RS04770	8	0.5733542191734486	32049.SYNPCC7002_A0954
gene-SYNPCC7002_RS04770	30	0.6486800433555246	32049.SYNPCC7002_A0954
gene-SYNPCC7002_RS04775	0.04	-1.4867694110516563	32049.SYNPCC7002_A0955
gene-SYNPCC7002_RS04775	4	0.6819614629191324	32049.SYNPCC7002_A0955
gene-SYNPCC7002_RS04775	8	0.98767973635399	32049.SYNPCC7002_A0955
gene-SYNPCC7002_RS04775	30	-0.18287178822147393	32049.SYNPCC7002_A0955
gene-SYNPCC7002_RS04780	0.04	0.4669859008857494	32049.SYNPCC7002_A0956
gene-SYNPCC7002_RS04780	4	-0.9521688003012668	32049.SYNPCC7002_A0956
gene-SYNPCC7002_RS04780	8	-0.6066644324924528	32049.SYNPCC7002_A0956
gene-SYNPCC7002_RS04780	30	1.0918473319079443	32049.SYNPCC7002_A0956
gene-SYNPCC7002_RS04785	0.04	1.230096838986252	32049.SYNPCC7002_A0957
gene-SYNPCC7002_RS04785	4	-0.8022686901013967	32049.SYNPCC7002_A0957
gene-SYNPCC7002_RS04785	8	-0.548516340328703	32049.SYNPCC7002_A0957
gene-SYNPCC7002_RS04785	30	0.1206881914438378	32049.SYNPCC7002_A0957
gene-SYNPCC7002_RS04790	0.04	1.0568251906523607	32049.SYNPCC7002_A0958
gene-SYNPCC7002_RS04790	4	-0.6618870699520543	32049.SYNPCC7002_A0958
gene-SYNPCC7002_RS04790	8	-0.9947141373650886	32049.SYNPCC7002_A0958
gene-SYNPCC7002_RS04790	30	0.5997760166647875	32049.SYNPCC7002_A0958
gene-SYNPCC7002_RS04795	0.04	1.1585538162093199	32049.SYNPCC7002_A0959
gene-SYNPCC7002_RS04795	4	-0.8296702311814024	32049.SYNPCC7002_A0959
gene-SYNPCC7002_RS04795	8	-0.9794047624069026	32049.SYNPCC7002_A0959
gene-SYNPCC7002_RS04795	30	0.6505211773789725	32049.SYNPCC7002_A0959
gene-SYNPCC7002_RS04800	0.04	0.36472754475950925	32049.SYNPCC7002_A0961
gene-SYNPCC7002_RS04800	4	-0.7002403377403281	32049.SYNPCC7002_A0961
gene-SYNPCC7002_RS04800	8	-0.7116700475979347	32049.SYNPCC7002_A0961
gene-SYNPCC7002_RS04800	30	1.0471828405787582	32049.SYNPCC7002_A0961
gene-SYNPCC7002_RS04805	0.04	0.06632348404600216	32049.SYNPCC7002_A0962
gene-SYNPCC7002_RS04805	4	-0.6734548203256759	32049.SYNPCC7002_A0962
gene-SYNPCC7002_RS04805	8	-0.7149358759647817	32049.SYNPCC7002_A0962
gene-SYNPCC7002_RS04805	30	1.3220672122444537	32049.SYNPCC7002_A0962
gene-SYNPCC7002_RS04810	0.04	0.9841817128030387	32049.SYNPCC7002_A0963
gene-SYNPCC7002_RS04810	4	-0.9392951023142125	32049.SYNPCC7002_A0963
gene-SYNPCC7002_RS04810	8	-0.7570749929457449	32049.SYNPCC7002_A0963
gene-SYNPCC7002_RS04810	30	0.7121883824569074	32049.SYNPCC7002_A0963
gene-SYNPCC7002_RS04815	0.04	-0.6317683270990095	32049.SYNPCC7002_A0964
gene-SYNPCC7002_RS04815	4	1.1047782011495262	32049.SYNPCC7002_A0964
gene-SYNPCC7002_RS04815	8	0.7439057216196728	32049.SYNPCC7002_A0964
gene-SYNPCC7002_RS04815	30	-1.2169155956701614	32049.SYNPCC7002_A0964
gene-SYNPCC7002_RS04820	0.04	1.2690845903385597	32049.SYNPCC7002_A0965
gene-SYNPCC7002_RS04820	4	-0.9088195495194992	32049.SYNPCC7002_A0965
gene-SYNPCC7002_RS04820	8	-0.7868782834419172	32049.SYNPCC7002_A0965
gene-SYNPCC7002_RS04820	30	0.4266132426228622	32049.SYNPCC7002_A0965
gene-SYNPCC7002_RS04825	0.04	1.5085026286820438	32049.SYNPCC7002_A0966
gene-SYNPCC7002_RS04825	4	-0.3516908318371293	32049.SYNPCC7002_A0966
gene-SYNPCC7002_RS04825	8	-0.6504542163618597	32049.SYNPCC7002_A0966
gene-SYNPCC7002_RS04825	30	-0.5063575804830617	32049.SYNPCC7002_A0966
gene-SYNPCC7002_RS04830	0.04	1.4676073665091292	32049.SYNPCC7002_A0967
gene-SYNPCC7002_RS04830	4	-0.6837811675528368	32049.SYNPCC7002_A0967
gene-SYNPCC7002_RS04830	8	-0.8693317395688404	32049.SYNPCC7002_A0967
gene-SYNPCC7002_RS04830	30	0.0855055406125459	32049.SYNPCC7002_A0967
gene-SYNPCC7002_RS04835	0.04	1.3044092048206481	32049.SYNPCC7002_A0968
gene-SYNPCC7002_RS04835	4	-0.93086495723126494	32049.SYNPCC7002_A0968
gene-SYNPCC7002_RS04835	8	-0.7297767721152528	32049.SYNPCC7002_A0968
gene-SYNPCC7002_RS04835	30	0.35623252452586707	32049.SYNPCC7002_A0968
gene-SYNPCC7002_RS04840	0.04	-1.4474818767199862	32049.SYNPCC7002_A0969
gene-SYNPCC7002_RS04840	4	0.22289548360292807	32049.SYNPCC7002_A0969
