K02110_downstream.fna.motif.h1_5;High-covariation	4.477159175274068	0	0	10.599454395416943	8.730325076051244	5.470426643265675	21.615025332868584	44.15384751456085	19.36111600781655	46.518790121174334	37.173032967927355	9.766100106023055	7.204939855829066	23.863064210286794	45.131659894444304	37.24822889814756
gene-SYNPCC7002_RS15525	169.01275886659607	150.46804911070194	151.8799091544733	164.29154312896262	156.41832427925146	129.46676389062097	160.1476876935263	179.76923630928349	305.3776024869247	107.65777142328918	113.47557432314666	149.74686829235353	109.87533280139326	110.03524052521132	95.90477727569414	110.58067954137556
gene-SYNPCC7002_RS15530	116.40613855712576	176.410816198754	203.80466442095988	168.266338527244	184.791880776418	173.2301770367464	225.9752648436261	186.0769288113636	484.90795092304177	188.06882291846196	179.01750087186068	223.80646076302835	209.84387330102155	165.71572368254718	183.34736832118	218.8333447766169
gene-SYNPCC7002_RS15535	87.30460391784432	88.205408099377	119.42693711291916	123.21865734672197	114.94928016800806	94.82072848327171	127.72514969422345	119.84615753952232	400.4230810707514	130.91716648387634	106.62791035537057	106.61325949075169	132.39076985085907	121.96677263035473	104.36696350590246	125.712772531248
gene-SYNPCC7002_RS15540	2115.4577103169972	1848.4221550237091	1542.1652314146518	1683.988317071867	792.2770006516505	790.4766499518901	877.3735282841657	816.8461790193758	1665.9360273998514	1723.188896917215	1703.1118525568822	1530.022349943612	1833.6571933084972	1684.9974784041397	1894.5894726521933	1744.8467224475996
gene-SYNPCC7002_RS16275	725.299786394399	766.6087674519383	723.0522170858259	723.4127624872064	314.2917027378448	345.54861629961516	407.737977870021	342.7179592796866	318.57836340134503	417.3400028013926	409.8816003568832	403.66547104895295	459.31491580910296	403.02063999595475	405.24469613553117	485.3909828289854
gene-SYNPCC7002_RS15550	34.697983608374024	44.1027040496885	29.85673427822979	56.97206737536607	8.730325076051244	3.6469510955104503	19.65002302988053	22.076923757280426	3.5202029105121	9.303758024234867	20.542991903328275	15.462991834536504	3.602469927914533	6.628628947301887	13.163400802546256	6.984042918402667
gene-SYNPCC7002_RS15555	304.4468239186366	299.6389598670013	303.7598183089466	335.20774525506084	232.80866869469986	205.14099912246283	178.81520957191282	203.94872423392394	180.41039916374513	145.53735766481685	163.3656975169439	190.43895206744958	190.93090617947024	190.90451368229435	159.84129545949025	182.74912303153647
gene-SYNPCC7002_RS15560	236.1701464957071	247.75342569089716	325.82783929720335	349.78199504875914	152.7806888308968	137.6724038555195	163.09519114800838	139.8205171294427	123.2071018679235	127.59439576093531	141.84446790393332	139.16692651082855	147.70126704449586	133.89830473549813	114.70963556504594	155.9769585109929
gene-SYNPCC7002_RS15575	1569.2442909335607	1518.949013005448	1511.0103782547599	1507.7723877480603	1062.917078009239	1218.0816659004904	1149.526347248011	972.4359274040188	647.7173355342264	622.0226793345597	750.3083233263231	755.245074865783	753.816832416116	642.9770078882831	570.727449081827	736.8165278914814
gene-SYNPCC7002_RS15580	118.6447181447628	99.87965328900043	66.20406296477042	54.322203776511834	136.77509285813616	169.58322594123592	133.6201566031876	129.3076962926425	140.808116420484	170.12586101458044	153.5833204201209	173.34827688190924	139.59570970668815	153.7841915774038	159.84129545949025	95.44858655150311
gene-SYNPCC7002_RS15585	935.7262676322802	769.2030441607435	893.1057905835694	891.6791010144503	744.2602127333686	811.4466187510751	786.0009211952212	783.2051523416152	364.3410012380024	421.32732766892184	408.9033626472009	395.52705429393376	434.0976263137012	420.25507525893966	380.7983803593738	414.3865464918916
