Geneid	CO2-0-04percent_Lane1-S1_CO2-adaptation	CO2-0-04percent_Lane2-S2_CO2-adaptation	CO2-0-04percent_Lane2-S3_CO2-adaptation	CO2-0-04percent_Lane2-S4_CO2-adaptation	CO2-30percent_Lane1-S14_CO2-adaptation	CO2-30percent_Lane1-S16_CO2-adaptation	CO2-30percent_Lane2-S13_CO2-adaptation	CO2-30percent_Lane2-S15_CO2-adaptation	CO2-4percent_Lane1-S6_CO2-adaptation	CO2-4percent_Lane1-S7_CO2-adaptation	CO2-4percent_Lane2-S5_CO2-adaptation	CO2-4percent_Lane2-S8_CO2-adaptation	CO2-8percent_Lane1-S12_CO2-adaptation	CO2-8percent_Lane2-S10_CO2-adaptation	CO2-8percent_Lane2-S11_CO2-adaptation	CO2-8percent_Lane2-S9_CO2-adaptation
gene-SYNPCC7002_RS00530	23077	21023	17911	19955	40839	32220	31609	28621	43844	54520	36625	36764	43578	30611	41930	34291
gene-SYNPCC7002_RS00535	293	223	267	244	353	285	268	266	431	598	408	507	315	242	361	330
gene-SYNPCC7002_RS00540	1472	1274	1183	1291	1858	1457	1469	1468	2803	3382	1820	2334	2244	1799	2339	1634
gene-SYNPCC7002_RS00545	249	222	165	152	821	670	596	587	768	993	691	689	713	561	866	593
gene-SYNPCC7002_RS00550	4415	3719	2803	3288	11134	9222	8826	8052	12839	16630	11022	12509	12732	8890	12178	9448
gene-SYNPCC7002_RS00555	17313	17508	13918	17793	21242	15947	15810	15879	35032	43599	25101	25827	34366	23616	34311	25059
gene-SYNPCC7002_RS00560	174	147	157	162	331	184	232	193	265	313	235	275	259	176	263	165
gene-SYNPCC7002_RS00565	568	469	524	567	932	690	651	572	1127	1347	809	811	953	717	1024	751
gene-SYNPCC7002_RS00570	5600	4489	5739	5561	6032	4766	4368	4229	8686	11660	7032	9820	6798	5146	7194	5094
gene-SYNPCC7002_RS00575	425	340	338	343	1207	1016	859	918	607	971	631	828	676	476	610	512
gene-SYNPCC7002_RS00580	2570	2603	2237	2569	6335	4663	4589	4108	5733	7856	5788	5926	5765	3856	5937	4642
gene-SYNPCC7002_RS00585	1722	1297	896	891	4114	3757	3010	2606	2085	3050	2505	3827	2577	1492	2056	1947
gene-SYNPCC7002_RS00590	3849	3465	3412	3590	4955	3947	3491	3681	3862	5513	3905	4839	4044	2666	3973	3036
gene-SYNPCC7002_RS00595	2477	2354	2347	2216	4157	3078	2978	2977	3016	3779	2333	3269	2770	2093	2844	2013
gene-SYNPCC7002_RS00600	3257	2759	2611	2639	4323	3071	3232	3005	3809	4889	3126	4357	3135	2477	3169	2535
gene-SYNPCC7002_RS00605	677	585	629	529	984	748	589	736	892	1274	914	1052	833	641	837	626
gene-SYNPCC7002_RS00610	3873	3575	4018	3824	6341	4827	4080	4665	3938	5315	3550	4123	3754	2518	3556	2821
gene-SYNPCC7002_RS00615	326	262	308	258	892	621	582	656	422	660	375	422	443	313	357	349
gene-SYNPCC7002_RS00620	2973	1429	547	650	11414	10021	9158	7888	39711	48808	44634	69724	26593	22102	27832	20987
gene-SYNPCC7002_RS00625	322	347	313	238	929	745	591	617	702	1322	809	729	659	487	776	596
gene-SYNPCC7002_RS00630	80	65	58	51	187	145	115	117	43	83	79	90	55	39	66	51
gene-SYNPCC7002_RS00635	125	119	158	127	313	206	207	244	141	163	103	181	109	108	117	88
gene-SYNPCC7002_RS00640	3887	3363	3228	3265	6918	5664	5215	4434	6581	9757	7431	8506	7850	4596	7007	6237
gene-SYNPCC7002_RS00645	87	100	71	120	468	298	270	365	325	369	240	198	179	166	229	184
gene-SYNPCC7002_RS00650	357	294	295	328	1497	1059	885	1003	444	560	422	507	460	305	391	356
gene-SYNPCC7002_RS00655	452	322	384	360	1244	996	926	802	499	566	403	496	434	277	381	370
gene-SYNPCC7002_RS00660	482	392	316	297	761	574	610	537	719	986	591	717	689	458	647	514
gene-SYNPCC7002_RS00665	502	471	268	302	754	752	685	603	999	1196	849	1015	884	485	764	571
gene-SYNPCC7002_RS00670	8902	8382	7215	9338	10244	7380	7277	6602	11825	15817	9360	9237	9834	7354	13468	8814
gene-SYNPCC7002_RS00675	1415	1420	1325	1378	1955	1356	1417	1385	1930	2769	1791	1816	1937	1331	1928	1546
gene-SYNPCC7002_RS00680	8	12	8	16	16	4	12	4	14	36	24	4	8	14	32	12
gene-SYNPCC7002_RS00685	12609	10091	8866	8331	5050	4761	4034	3492	3330	4379	2999	4386	3114	2033	3063	2464
gene-SYNPCC7002_RS00690	384	291	361	314	597	557	488	444	280	423	303	370	294	212	321	249
gene-SYNPCC7002_RS00695	12810	14067	17941	16194	10060	8409	8547	7328	4285	4995	3859	3629	4093	2548	3480	3184
gene-SYNPCC7002_RS00700	46536	39884	40563	40364	105854	87646	80074	75686	60720	82487	57041	74356	59553	42513	56487	45930
gene-SYNPCC7002_RS00705	330	331	303	354	491	388	375	417	415	601	387	485	368	306	425	379
gene-SYNPCC7002_RS00710	1121	907	858	932	1579	1291	1223	1066	1210	1531	1034	1392	1179	865	1089	874
gene-SYNPCC7002_RS00715	1535	1226	1112	1162	2216	2011	1645	1558	1609	1727	1454	1807	1685	1032	1451	1286
gene-SYNPCC7002_RS00720	278	236	320	266	412	335	351	264	315	295	230	319	257	210	222	194
gene-SYNPCC7002_RS00725	425	404	568	537	951	762	645	680	774	1025	645	835	717	523	665	533
gene-SYNPCC7002_RS00730	11470	9595	6655	7617	18209	13955	13994	13539	25527	32630	20073	22758	23273	17253	24366	17282
gene-SYNPCC7002_RS16040	763	742	631	654	729	600	516	452	593	664	408	517	500	333	484	355
gene-SYNPCC7002_RS00740	67	72	41	60	136	114	99	92	115	181	114	137	149	77	106	123
gene-SYNPCC7002_RS00745	67	64	64	43	148	80	81	86	62	80	59	67	53	46	64	50
gene-SYNPCC7002_RS00750	14224	12185	16449	15111	6346	5571	4751	4346	4636	5829	3870	4059	5635	3173	4797	3897
gene-SYNPCC7002_RS00755	340	294	225	309	560	506	371	403	498	678	474	662	527	350	469	410
gene-SYNPCC7002_RS00760	2194	1986	1970	1960	2969	2346	2195	1993	2844	3407	2358	2625	2699	1888	2863	2136
gene-SYNPCC7002_RS00765	616	560	429	624	1307	937	924	932	1130	1413	783	987	957	812	1146	835
gene-SYNPCC7002_RS00770	382	412	329	359	675	462	428	529	617	793	572	612	647	437	637	466
gene-SYNPCC7002_RS00775	786	825	857	830	1765	1237	1222	1143	571	897	541	801	701	466	594	589
gene-SYNPCC7002_RS00780	41672	57476	54572	71291	103720	64988	68933	73127	32391	43617	27043	30536	29687	26034	37729	24168
gene-SYNPCC7002_RS00785	1228	1196	1001	995	3002	2446	2261	2161	2535	3207	1769	2591	2566	2079	2662	1904
gene-SYNPCC7002_RS00790	811	746	532	558	2890	1994	1933	1971	3360	5066	3482	3755	3733	2887	3944	2836
gene-SYNPCC7002_RS00795	1883	1729	1674	1728	2069	1752	1676	1648	2136	2730	1978	2295	1917	1424	2114	1731
gene-SYNPCC7002_RS00800	934	767	662	581	1470	1368	1043	927	1242	1481	1059	1437	1333	813	1044	922
gene-SYNPCC7002_RS00805	1323	974	894	941	812	806	773	653	834	1097	570	996	645	417	517	538
gene-SYNPCC7002_RS00810	2752	2537	2461	2307	5192	3903	3734	3555	3885	4989	3282	3742	3866	2673	3603	2915
gene-SYNPCC7002_RS00815	5140	4424	5099	4554	5751	4526	3995	3702	4479	5521	4071	5118	4065	2802	4072	3336
gene-SYNPCC7002_RS00820	4045	3083	2509	2579	6136	5628	5062	4549	7469	9426	7085	8465	7670	5036	6688	5683
gene-SYNPCC7002_RS00825	1400	1230	843	875	2228	1829	1550	1485	2016	2796	1983	2273	2082	1349	1877	1657
gene-SYNPCC7002_RS00830	19546	16094	14981	15318	30662	23583	24361	19928	44317	51358	35866	34984	38747	29485	43147	31613
gene-SYNPCC7002_RS00835	7092	6011	8027	6696	19097	14126	12475	13582	16674	21951	14921	23728	11903	10620	13480	8708
gene-SYNPCC7002_RS00840	830	515	494	476	2323	2111	1770	1473	1752	2599	1718	2015	1682	1139	1396	1062
gene-SYNPCC7002_RS00845	986	798	812	751	1160	1081	909	798	687	1059	604	1025	783	536	620	512
gene-SYNPCC7002_RS00850	83154	69943	54959	61564	2063	1918	1558	1345	3252	4633	3533	4152	3659	2289	3019	2702
gene-SYNPCC7002_RS00855	81687	72650	55638	66587	2131	1772	1605	1444	3512	5374	2951	3988	3248	2432	3216	2548
gene-SYNPCC7002_RS00860	48536	45366	36489	42926	1375	1106	1093	1087	2553	3747	1934	2642	2352	1605	2441	1686
gene-SYNPCC7002_RS00865	42817	38118	30492	33717	1262	1026	871	841	2116	2981	1945	2523	2309	1464	2045	1722
